Topic	Instructions
Legal and privacy	This workbook prompts scope and evidence decisions; it is not legal advice or compliance certification. Use qualified review for privacy, consent, consumer and accessibility obligations.
Key v4 corrections	Fixed the launch-gate logic; separated priority from gating; corrected AI crawler controls, Consent Mode, lab versus field CWV and FAQ/HowTo wording; split GSC from analytics; split titles from descriptions; moved production crawling to launch day.
New v4 controls	Added indexability matrices, X-Robots-Tag/non-HTML handling, rollback and change-freeze planning, analytics governance, schema eligibility, asset budgets and RUM, detailed localization/accessibility QA, incident SLAs, anomaly monitoring and anti-link-scheme governance.
Sources	The Sources sheet contains dated primary URLs used for time-sensitive technical and legal wording. Recheck them when platform behavior or law changes.
Profile	For gate review, show every Launch gate?=Yes row, including Review decisions and recorded exclusions, plus input-error rows; optionally show active Core work. Never use a Profile-only or Applies?=Yes-only filter to determine the gate inventory.
Column order	The original columns A:Q retain their order. Calculated review history fields occupy R:U. Filter the complete table and keep each row together; never sort only selected input columns. The review log is linked by control ID, not row position.
v4.1 fixes	Deleted the broken Progress row that produced seven formula errors and repointed the launch-readiness formulas. Removed leftover v3 status validation and colour rules from the Due date column and the duplicate priority rule on C2:C55. Corrected four stale cross-references in Notes (1.4, 1.8, 3.5, 3.9). Rewrote 0.6 after verifying that the Search Console generative AI control does exist.
v4.2 fixes	Mechanical integrity release: repaired GO/HOLD conditional formatting, converted Progress COUNTIFS to structured table references, added phase validation, corrected Sources date type, updated version label, listed frozen panes as an intended change; they were absent in the audited v4.4 file and are implemented in v5.0 and restored Due date validation/formatting.
v4.3 changes	Closed remaining coverage gaps without changing the three-axis gating model. Added domain-renewal continuity, favicon/site-name identity, SEO-safe experimentation, video, paywall/gated content, publisher Discover/Preferred Sources and UGC/third-party-content modules. Refined URL conventions, image/search previews, Search Console associations, FAQ deprecation wording, AI reporting rollout wording and authorship/date scope. Clarified that Core filtering must never hide launch gates.
v4.4 changes	Narrowed AI-control language and clarified llms.txt; added a conditional breadcrumb/BreadcrumbList control; expanded domain-variant migration, review-integrity and internal-search handling; removed the partial Core-only launch-gate metric; and restored readable row heights. The gate model itself is unchanged.
Control purpose	Notes label each control's purpose: indexing/discovery; relevance/ranking consideration; search-feature eligibility; measurement; legal/accessibility; security/governance; or optional enhancement. Multiple labels identify distinct outcomes. These labels explain why the work exists; they do not change Priority, Applies?, Launch gate?, Status or Profile.
Search requirements and release policy	Google's minimum technical eligibility concerns crawl access, a working 200 response and indexable content, including spam-policy compliance. Meeting them does not guarantee indexing. This operating checklist also contains business, legal, accessibility and reliability dependencies. A release gate can protect those outcomes without being a ranking factor. Scope optional products/features deliberately; do not require analytics, a sitemap, a particular schema type, SSR or two Search Console owners merely for basic indexing. Sources: Google technical requirements; Search Essentials.
Ranking, features and conditional work	Relevance/ranking consideration identifies work related to useful content, links or relevant page experience; it does not mean every listed practice is an independently scored factor. Google uses Core Web Vitals in ranking, but lab budgets, analytics, consent, accessibility assessments and governance records are not themselves ranking scores. Structured-data rules govern chosen feature eligibility, with no guaranteed display. Keep private-data exposure, misleading shipped markup and other applicable release defects blocking; adoption of an optional feature remains a separate choice. Sources: Page experience and ranking; Structured-data guidelines.
Changing the control inventory	Only a designated maintainer changes the control inventory. Save a new version, retain the signed prior release dossier and assign a new scope revision before adding a control. Clear the prior scope approval and cutover authorization records. A previous approval never automatically covers an added requirement. Keep previous review runs intact.
Add and register a control	Unprotect the relevant sheets for maintenance. Insert or append a whole Checklist table row, using a unique text ID and an appropriate existing row as the format/formula template. Complete the original A:Q fields; preserve the calculated R:U columns. Add the same ID, phase, gate, applicability, criterion and evidence class to ReleaseScope and the protected fixed ID inventory. Add a GateEvidence record for a gate. Copy input validation, formulas and protection deliberately; do not copy another control's evidence or approval.
Reserve space and update guards	Before extending either release register, insert a whole worksheet row immediately below that register to move the sections below it safely. Confirm the actual named-table bounds after each insertion. Extend the fixed ID inventory and its identity-error formula. Update the expected control and gate counts and the fixed inventory range in Progress B22:B26 and B28 from the revised approved inventory. Keep those expected counts fixed; do not replace them with counts calculated from the same tables being checked.
Verify an inventory change	Extend every affected dropdown, date rule, conditional format and input-integrity check through the new rows. Confirm that ReviewRuns offers the new ID and that its latest result appears on the matching Checklist row. Test the changed inventory in a disposable copy: applicable Failed and unresolved Review gates must HOLD, and complete current evidence must allow the appropriate stage to pass. Sort and filter whole tables, then save and reopen. Check the sections and long text visually, and re-protect the maintained sheets.
Retain identity and history	Never reuse an old control ID for a different requirement or delete historic review runs to improve readiness. Record any retirement or criterion change in the approved scope and version history. Retain prior evidence under its original release, scope and criterion. A new version of the inventory needs a fresh scope decision and matching current evidence before launch acceptance.
v5.0 changes	Orders01–15 implement two-stage readiness, release-specific evidence, current review history, clarified SEO/platform requirements, purpose classification and controlled inventory additions. Order16 adds consistent presentation, exact status formatting, scheduling validation and retained source/change history. The final verification report records acceptance and method-specific limits.
Screen and print use	Use the workbook on screen. Checklist freezes its header, ID and phase; horizontal scrolling reveals the remaining fields. Navigate lower release registers by their table names ReleaseScope, GateEvidence and ReviewRuns using the Name Box. Filter and sort whole tables. The full21-column Checklist is not a supported one-page print. Print selected legible sections with repeated ID/phase and headers, then inspect page breaks. AutoFit and inspect rows after entering long evidence or trigger text.
Source verification and history	Source IDs stay with exact URLs after sorting. Sources preserves verification dates, recorded verifier and next-review trigger; historical-only references are labelled and do not support current claims. Checklist Notes and the companion claim/source CSV map controls to references; project acceptance procedures are operating policy. Change history retains prior wording and source dates. Its observed verification date comes from saved test evidence and is not a claimed edit timestamp. Unknown dates/authorship remain Unknown. Reverify volatile platform claims before release and after provider changes; legal/privacy scope also needs qualified jurisdiction/business review. Current exact X Cards requirements remain unverified.
