Topic	Primary source URL	Used for	Verified	Source ID	Verified by	Next review trigger	Change records
Search AI control	https://support.google.com/webmasters/answer/16908024?hl=en	0.6/2.9: worldwide 2026-08-31 announcement, effective inherited/overridden property choice, specific Search AI inclusion scope distinct from training and other Search ranking.	2026-09-09	SRC018	Codex - prior document verification recorded in Order 12	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00750; CHG00751; CHG00752; CHG00753
URL Inspection: live vs indexed	https://support.google.com/webmasters/answer/9012289?hl=en	B04: live evidence cannot establish Google-selected canonical	2026-09-07	SRC019	Not recorded (legacy workbook row)	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00015; CHG00016; CHG00017; CHG00018
Excel data-validation limitations	https://support.microsoft.com/en-us/excel/more-on-data-validation	B01: runtime checks also cover values entering outside typed validation	2026-09-07	SRC020	Not recorded (legacy workbook row)	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00019; CHG00020; CHG00021; CHG00022
Excel worksheet protection	https://support.microsoft.com/en-us/excel/protect-a-worksheet	B01/B05: accidental edit protection and sorting limits; not security	2026-09-07	SRC021	Not recorded (legacy workbook row)	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00023; CHG00024; CHG00025; CHG00026
Favicon in Search	https://developers.google.com/search/docs/appearance/favicon-in-search	2.13: CDN permitted; supported formats, square 8x8 minimum and recommendation above 48x48; homepage/asset crawler access and hostname scope.	2026-09-09	SRC022	Codex - prior document verification recorded in Order 08	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00500; CHG00501
Site names	https://developers.google.com/search/docs/appearance/site-names	2.13: WebSite name/url on eligible domain/subdomain homepage, consistent duplicates and signals, reuse existing node; no separate subdirectory site names.	2026-09-09	SRC023	Codex - prior document verification recorded in Order 08	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00502; CHG00503
URL structure	https://developers.google.com/search/docs/crawling-indexing/url-structure	Descriptive URL paths, characters and parameter best practices	2026-08-26	SRC024	Not recorded (legacy workbook row)	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	No material source change recorded
Discover	https://developers.google.com/search/docs/appearance/google-discover	2.3,2.16: indexed/policy eligibility beyond publishers, no special markup, recommended image dimensions/crops/large previews and no appearance guarantee.	2026-09-09	SRC025	Codex - prior document verification recorded in Order 09	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00568; CHG00569; CHG00570
Video SEO	https://developers.google.com/search/docs/appearance/video	2.14: dedicated main-video watch page, discoverable player/resources, third-party access, accurate structured data and optional sitemap; supplemental video differs.	2026-09-09	SRC026	Codex - prior document verification recorded in Order 09	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00571; CHG00572
Website testing	https://developers.google.com/search/docs/crawling-indexing/website-testing	A/B testing, alternate URLs, canonicals, temporary redirects and cloaking cautions	2026-08-26	SRC027	Not recorded (legacy workbook row)	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	No material source change recorded
Paywalled content	https://developers.google.com/search/docs/appearance/structured-data/paywalled-content	2.15: intended crawler access to indexed paid content; required isAccessibleForFree and recommended section granularity; access and preview choices.	2026-09-09	SRC028	Codex - prior document verification recorded in Order 09	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00573; CHG00574
Spam policies	https://developers.google.com/search/docs/essentials/spam-policies	3.9,3.13: scaled-content, doorway, link-spam and current site-reputation policy; actual third-party arrangements and integration factors, not a blanket ban on contributors.	2026-09-09	SRC029	Codex - prior document verification recorded in Order 10	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00646; CHG00647; CHG00648
Outbound-link qualification	https://developers.google.com/search/docs/crawling-indexing/qualify-outbound-links	3.13: sponsored preferred for paid placements with nofollow accepted; appropriate UGC treatment and contextual exceptions; link attributes do not prevent target indexing.	2026-09-09	SRC030	Codex - prior document verification recorded in Order 10	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00649; CHG00650; CHG00651
Search Console associations	https://support.google.com/webmasters/answer/9419894	Google Analytics and Merchant Center associations with Search Console	2026-08-26	SRC031	Not recorded (legacy workbook row)	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	No material source change recorded
Preferred Sources	https://developers.google.com/search/docs/appearance/preferred-sources	2.16: optional user selection, current domain/subdomain eligibility and supported button/link; no distinct subdirectory source or guaranteed general ranking benefit.	2026-09-09	SRC032	Codex - prior document verification recorded in Order 09	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00575; CHG00576
Helpful content	https://developers.google.com/search/docs/fundamentals/creating-helpful-content	0.2,3.5,3.10: real user purpose, original value, supported claims and contextual authorship/creation transparency; formatting alone does not establish quality.	2026-09-09	SRC033	Codex - prior document verification recorded in Order 10	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00652; CHG00653; CHG00654
Search AI performance report	https://support.google.com/webmasters/answer/16984139	6.4: Search AI impressions, actual availability, separate Discover/Labs scope, property/page aggregation, PT dates and missing values becoming zeros on export; no click/CTR or all-AI visibility interpretation.	2026-09-09	SRC034	Codex - prior document verification recorded in Order 12	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00754; CHG00755; CHG00756; CHG00757
Schema.org FAQPage	https://schema.org/FAQPage	2.7, 7.9: FAQPage remains vocabulary for FAQ content. This replaces an obsolete FAQ API-history proof link; Google feature availability is checked in the separate updates source.	2026-09-09	SRC035	Codex - prior document verification recorded in Order 08	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00504; CHG00505; CHG00506; CHG00507
Breadcrumb navigation	https://developers.google.com/search/docs/appearance/structured-data/breadcrumb	2.17: actual useful hierarchy, at least two ordered ListItems, required properties and last-item exception; current Google feature is desktop only.	2026-09-09	SRC036	Codex - prior document verification recorded in Order 08	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00508; CHG00509
Google AI optimization	https://developers.google.com/search/docs/fundamentals/ai-optimization-guide	0.6: no required llms.txt, special AI markup or Markdown for Google Search; such files are ignored for Google visibility/ranking. Other services need their own documented case.	2026-09-09	SRC037	Codex - prior document verification recorded in Order 12	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00758; CHG00759; CHG00760
JavaScript SEO basics	https://developers.google.com/search/docs/crawling-indexing/javascript/javascript-seo-basics	1.1, 1.10: rendering, raw noindex, canonical consistency and crawlable output; SSR is a reliability policy.	2026-09-08	SRC038	Codex - prior document verification recorded in Order 02	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00185; CHG00186; CHG00187; CHG00188
JavaScript troubleshooting	https://developers.google.com/search/docs/crawling-indexing/javascript/fix-search-javascript	1.1: renderer limitations, resource/API access and reproducible raw/rendered diagnostics.	2026-09-08	SRC039	Codex - prior document verification recorded in Order 02	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00189; CHG00190; CHG00191; CHG00192
Googlebot fetch limits	https://developers.google.com/search/docs/crawling-indexing/googlebot	1.1, 1.5, 0.3: uncompressed per-file fetch caps; Search: 2 MB non-PDF, 64 MB PDF; separate resources. Reverify with crawler/payload changes.	2026-09-08	SRC040	Codex - prior document verification recorded in Order 02	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00193; CHG00194; CHG00195; CHG00196
Redirects and Google Search	https://developers.google.com/search/docs/crawling-indexing/301-redirects	1.3, 1.6: permanent/temporary redirect choices, 301/308 and usable destination mappings.	2026-09-08	SRC041	Codex - prior document verification recorded in Order 02	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00197; CHG00198; CHG00199; CHG00200
HTTP status codes	https://developers.google.com/crawling/docs/troubleshooting/http-status-codes	1.4: 4xx, 429 and 5xx behavior; distinguish genuine absence, temporary failure and success.	2026-09-08	SRC042	Codex - prior document verification recorded in Order 02	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00201; CHG00202; CHG00203; CHG00204
Faceted navigation	https://developers.google.com/crawling/docs/faceted-navigation	1.12, 1.4: bounded crawl spaces, stable filters and 404 for no-result/nonsensical filters and nonexistent pages.	2026-09-08	SRC043	Codex - prior document verification recorded in Order 02	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00205; CHG00206; CHG00207; CHG00208
Pagination	https://developers.google.com/search/docs/specialty/ecommerce/pagination-and-incremental-page-loading	1.13: unique page URLs, crawlable sequential links and separate canonicals; no click/scroll dependency.	2026-09-08	SRC044	Codex - prior document verification recorded in Order 02	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00209; CHG00210; CHG00211; CHG00212
Sitemap construction	https://developers.google.com/search/docs/crawling-indexing/sitemaps/build-sitemap	2.1: UTF-8, escaping, absolute URLs, 50,000 URL/50 MB uncompressed limits and meaningful lastmod.	2026-09-08	SRC045	Codex - prior document verification recorded in Order 02	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00213; CHG00214; CHG00215; CHG00216
robots.txt interpretation	https://developers.google.com/crawling/docs/robots-txt/robots-txt-spec	2.1, 5.5: GET scope, groups, 500 KiB, cache/error behavior. Most 4xx except 429 mean no restrictions; failures may retain cached rules.	2026-09-08	SRC046	Codex - prior document verification recorded in Order 02	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00217; CHG00218; CHG00219; CHG00220
HTTP caching standard	https://www.rfc-editor.org/rfc/rfc9111.html	1.7, 4.2, 5.1: shared/private cache behavior, request variants and sensitive-response isolation; directives do not replace authorization.	2026-09-09	SRC047	Codex - prior document verification recorded in Order 03	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00267; CHG00268; CHG00269; CHG00270
HTTP cache and versioned assets	https://web.dev/articles/http-cache	1.5, 1.7: cache/revalidation choices and changed asset URLs for reliable updates to returning users.	2026-09-09	SRC048	Codex - prior document verification recorded in Order 03	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00271; CHG00272; CHG00273; CHG00274
Font performance	https://web.dev/articles/font-best-practices	1.5: delayed/failing fonts, fallback metrics, glyph-preserving licensed subsets and layout shift; system fonts remain valid.	2026-09-09	SRC049	Codex - prior document verification recorded in Order 03	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00275; CHG00276; CHG00277; CHG00278
Verify Google crawler requests	https://developers.google.com/crawling/docs/crawlers-fetchers/verify-google-requests	1.7,2.9,5.5,2.15: genuine crawler identity differs from synthetic user-agent probes; use documented DNS/IP methods before trusting crawler-only access.	2026-09-09	SRC050	Codex - prior document verification recorded in Order 09	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00279; CHG00280; CHG00281; CHG00282; CHG00577
Monitoring distributed systems	https://sre.google/sre-book/monitoring-distributed-systems/	1.7, 4.12, 5.5: actionable symptoms, clear alert routing and external behavior checks; project readiness tests are an operating-policy application.	2026-09-09	SRC051	Codex - prior document verification recorded in Order 03	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00283; CHG00284; CHG00285; CHG00286
Secure logging guidance	https://cheatsheetseries.owasp.org/cheatsheets/Logging_Cheat_Sheet.html	4.12, 7.8: verify logging, limit sensitive fields, restrict access and apply approved retention/deletion obligations; duration is context dependent.	2026-09-09	SRC052	Codex - prior document verification recorded in Order 03	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00287; CHG00288; CHG00289; CHG00290
Web Vitals metrics	https://web.dev/articles/vitals	1.5, 4.5, 6.2: LCP/INP/CLS at p75 by device; Good <=2.5 s/200 ms/0.1; TBT lab diagnostics do not replace field INP.	2026-09-09	SRC053	Codex - prior document verification recorded in Order 04	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00312; CHG00313; CHG00314; CHG00315
CrUX API collection window	https://developer.chrome.com/docs/crux/api	4.11, 6.2: recorded 28-day collectionPeriod may contain fewer observed days; identify URL/origin and form factor.	2026-09-09	SRC054	Codex - prior document verification recorded in Order 04	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00316; CHG00317; CHG00318; CHG00319
CrUX methodology and coverage	https://developer.chrome.com/docs/crux/methodology	4.11, 6.2: public discoverability and undisclosed popularity thresholds; missing coverage is not a performance grade.	2026-09-09	SRC055	Codex - prior document verification recorded in Order 04	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00320; CHG00321; CHG00322; CHG00323
Search Console CWV groups	https://support.google.com/webmasters/answer/9205520	6.2: device-specific URL groups and origin fallback; distinguish group evidence from an individual URL measurement.	2026-09-09	SRC056	Codex - prior document verification recorded in Order 04	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00324; CHG00325; CHG00326; CHG00327
Declaring language in HTML	https://www.w3.org/International/questions/qa-html-language-declarations	1.14: accurate document language and language changes support processing and assistive technology; separate from Google's visible-language detection.	2026-09-09	SRC057	Codex - prior document verification recorded in Order 05	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00361; CHG00362; CHG00363; CHG00364
Mobile-first indexing	https://developers.google.com/search/docs/crawling-indexing/mobile/mobile-sites-mobile-first-indexing	4.3: mobile primary content, directives, metadata, structured data and resources; no interaction-dependent primary loading; correct separate-URL relationships.	2026-09-09	SRC058	Codex - prior document verification recorded in Order 05	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00365; CHG00366; CHG00367; CHG00368
Change of Address	https://support.google.com/webmasters/answer/9370220	0.8, 4.8, 5.2: eligible/excluded moves, same-account ownership, source property/variant scope and submission after live redirects; tool effect is 180 days.	2026-09-09	SRC059	Codex - prior document verification recorded in Order 06	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00406; CHG00407; CHG00408; CHG00409
Manual actions	https://support.google.com/webmasters/answer/9044175	0.8, 6.5: inspect actual report findings, including inherited-site actions, and verify remediation/review outcomes.	2026-09-09	SRC060	Codex - prior document verification recorded in Order 06	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00410; CHG00411; CHG00412; CHG00413
Security issues	https://support.google.com/webmasters/answer/9044101	0.8, 6.5: inherited-site problems, investigation and remediation; reported example URLs are not necessarily exhaustive.	2026-09-09	SRC061	Codex - prior document verification recorded in Order 06	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00414; CHG00415; CHG00416; CHG00417
site: search limitations	https://developers.google.com/search/docs/monitor-debug/search-operators/all-search-site	3.10 and inherited-domain review: site: results are not a complete inventory or proof of absence; use the actual maintained URL inventory and relevant account evidence.	2026-09-09	SRC062	Codex - prior document verification recorded in Order 10	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00418; CHG00419; CHG00420; CHG00421; CHG00655; CHG00656
Contingency planning and recovery testing	https://csrc.nist.gov/pubs/sp/800/34/r1/upd1/final	1.17, 4.12: risk-based recovery planning, targets and exercises. Adapted operational practice; not a universal SEO or legal requirement.	2026-09-09	SRC063	Codex - prior document verification recorded in Order 06	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00422; CHG00423; CHG00424; CHG00425
Consent Mode implementation timing	https://developers.google.com/tag-platform/security/guides/consent	2.6, 4.7: defaults before config/events, updates before page transitions, choice persistence and withdrawal; validate the actual implementation.	2026-09-09	SRC064	Codex - prior document verification recorded in Order 07	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00450; CHG00451; CHG00452; CHG00453
Analytics PII prevention	https://support.google.com/analytics/answer/6366371	2.5, 4.7, 5.6: remove prohibited identifiers from URLs, titles and collected fields; redaction settings are not complete payload verification.	2026-09-09	SRC065	Codex - prior document verification recorded in Order 07	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00454; CHG00455; CHG00456; CHG00457
GA4 SPA measurement	https://developers.google.com/analytics/devguides/collection/ga4/single-page-applications	2.5, 4.7: deliberate virtual-pageview emission, avoid double tracking, inspect current page_location/page_referrer and navigation behavior.	2026-09-09	SRC066	Codex - prior document verification recorded in Order 07	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00458; CHG00459; CHG00460; CHG00461
GA4 transaction IDs	https://support.google.com/analytics/answer/12313109	2.5, 4.7, 5.6: web purchase deduplication needs unique nonempty transaction IDs without customer-identifying data; avoid reused IDs and generic deduplication claims.	2026-09-09	SRC067	Codex - prior document verification recorded in Order 07	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00462; CHG00463; CHG00464; CHG00465
Search Console and GA4 linking	https://support.google.com/analytics/answer/10737381	0.4, 2.5: optional integration of matching page scope, web stream and properties; verify permissions and reporting limits if selected.	2026-09-09	SRC068	Codex - prior document verification recorded in Order 07	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00466; CHG00467; CHG00468; CHG00469
GA4 cross-domain measurement	https://support.google.com/analytics/answer/10071811?hl=en	2.5, 4.7: selected cross-domain journeys use consistent configuration; verify destination functionality and preserved linker parameters through redirects.	2026-09-09	SRC069	Codex - prior document verification recorded in Order 07	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00470; CHG00471; CHG00472; CHG00473
Structured-data formats and interpretation	https://developers.google.com/search/docs/appearance/structured-data/intro-structured-data	4.6: structured-data vocabulary and formats, interpreting page content and relevant Google feature requirements.	2026-09-09	SRC070	Codex - prior document verification recorded in Order 08	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00510; CHG00511; CHG00512; CHG00513
Google structured data features	https://developers.google.com/search/docs/appearance/structured-data/search-gallery	2.7, 4.6, 7.9: select currently supported features and follow the relevant individual guidance; vocabulary validity alone is not feature support.	2026-09-09	SRC071	Codex - prior document verification recorded in Order 08	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00514; CHG00515; CHG00516; CHG00517
Product structured data	https://developers.google.com/search/docs/appearance/structured-data/product	2.11,4.10: distinct product snippets, merchant listings and Merchant Center choices; accuracy and chosen-surface requirements.	2026-09-09	SRC072	Codex - prior document verification recorded in Order 09	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00578; CHG00579; CHG00580; CHG00581
Merchant listing requirements	https://developers.google.com/search/docs/appearance/structured-data/merchant-listing	2.11,4.10: purchasable product pages, offer data, currency-specific URLs and required versus recommended properties; not every catalogue has checkout.	2026-09-09	SRC073	Codex - prior document verification recorded in Order 09	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00582; CHG00583; CHG00584; CHG00585
Product variants	https://developers.google.com/search/docs/appearance/structured-data/product-variants	2.11,4.10: variant/group IDs, direct variant selection, correct image/offer/cart state and distinct single-page versus multi-page canonical models.	2026-09-09	SRC074	Codex - prior document verification recorded in Order 09	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00586; CHG00587; CHG00588; CHG00589
Business Profile representation guidelines	https://support.google.com/business/answer/3038177?hl=en	2.12: eligibility before listing creation; real name/location/service area, address visibility, ownership and duplicate/location exceptions.	2026-09-09	SRC075	Codex - prior document verification recorded in Order 09	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00590; CHG00591; CHG00592; CHG00593
Google News policies	https://support.google.com/news/publisher-center/answer/6204050?hl=en	2.18: accountable publisher, company/authors/contact, clear dates/bylines, sponsorship disclosure and news-surface policy eligibility.	2026-09-09	SRC076	Codex - prior document verification recorded in Order 09	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00594; CHG00595; CHG00596; CHG00597
News sitemaps	https://developers.google.com/search/docs/crawling-indexing/sitemaps/news-sitemap	2.18: optional news feed; last-two-days metadata, at most 1,000 news entries per file, original publication dates and required publication/language/title; intentional empty feed allowed.	2026-09-09	SRC077	Codex - prior document verification recorded in Order 09	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00598; CHG00599; CHG00600; CHG00601
Schema.org sameAs	https://schema.org/sameAs	0.5: a reference page must unambiguously identify the same entity; controlled profiles are one possible reference, not a compulsory list.	2026-09-09	SRC078	Codex - prior document verification recorded in Order 10	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00657; CHG00658; CHG00659; CHG00660
Generative AI content guidance	https://developers.google.com/search/docs/fundamentals/using-gen-ai-content	3.9: AI can support useful work; bulk generation without added user value risks scaled-content abuse. The batch-testing workflow is this checklist's operational safeguard.	2026-09-09	SRC079	Codex - prior document verification recorded in Order 10	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00661; CHG00662; CHG00663; CHG00664
Site reputation policy update	https://developers.google.com/search/blog/2026/08/update-site-reputation-policy	3.13: August2026 update distinguishes effects for searchers inside/outside the EEA, with Search Console notices and review routes; no ranking or immunity promise.	2026-09-09	SRC080	Codex - prior document verification recorded in Order 10	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00665; CHG00666; CHG00667; CHG00668
Disavow links to your site	https://support.google.com/webmasters/answer/2648487?hl=en	6.8: both bad-link and manual-action thresholds; feasible removal first; URL-prefix ownership, existing-list replacement and delayed processing. Most sites do not need disavow.	2026-09-09	SRC081	Codex - prior document verification recorded in Order 11	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00696; CHG00697; CHG00698; CHG00699
Maps review policy	https://support.google.com/contributionpolicy/answer/7400114?hl=en-GB	3.13/7.6: genuine reviews; no incentives, positive-only solicitation, pressure, dictated content or staff review quotas. Other destinations require separate policy review.	2026-09-09	SRC082	Codex - prior document verification recorded in Order 11	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00700; CHG00701; CHG00702; CHG00703
Review snippet guidelines	https://developers.google.com/search/docs/appearance/structured-data/review-snippet	2.11,3.13,4.6,7.6: visible genuine item-specific reviews; no imported aggregates; self-serving Organization/LocalBusiness star restriction includes widgets and is distinct from eligible Product reviews.	2026-09-09	SRC083	Codex - prior document verification recorded in Order 11	Before each release and after provider/documentation changes; qualified jurisdiction/business review where applicable	CHG00704; CHG00705; CHG00706; CHG00707
