ID	Phase	Priority	Applies to	Applies?	Launch gate?	Task	What to do	Done when	Owner	Tools	Review cadence	Due date	Notes	Status	Evidence	Profile	Last review UTC	Latest review result	Next review UTC	Review state
1.8	1 — Day 1 architecture	P0	All sites	Yes	Yes	Staging and preview environment protection	Password-protect or IP-restrict staging and preview environments. Use environment-conditional robots/meta controls as defense in depth and automated tests to ensure staging noindex rules cannot ship to production.	Staging and preview environments require effective access control. For production, every URL pattern approved as indexable is crawlable and has no unintended noindex in the response headers or HTML. Every intentionally excluded public pattern retains the approved indexing directives, and every private pattern retains effective authorization. The environment-specific URL matrix, including both indexable and excluded examples, matches the observed raw and rendered behavior. The preflight evidence proves these rules on the release candidate; the applicable launch-day checks confirm them on production after cutover.	Developer	Host auth/basic auth; env vars; robots.txt; meta robots; Search Console	Go-live checklist; every new environment		Purpose: indexing/discovery; security/governance. Do not remove intentional noindex from internal-search or other deliberately excluded public pages. Robots.txt is not confidentiality or guaranteed deindexing; preserve crawl access where needed to read a relied-upon noindex. Production verification belongs to the live checks in Phase 5. Test both allowed and excluded patterns; never treat a clean indexable homepage as proof for the whole matrix. Source IDs: SRC009; SRC038; SRC094.	Not started		Core		Not reviewed		Not reviewed
1.9	1 — Day 1 architecture	P0	Sites with meaningful images or video	Review	Yes	Responsive media pipeline	Compress media, generate responsive sizes, set dimensions or aspect-ratio, use modern formats, lazy-load only below-fold media and provide captions/transcripts or alternatives where required.	Representative templates serve appropriately sized media without layout shift; the LCP asset is not lazy-loaded; accessibility alternatives are present.	Developer	Image CDN/build pipeline; PageSpeed	Every new template		Purpose: indexing/discovery; legal/accessibility. v4: conditional launch gate when media ships. Source IDs: SRC014; SRC098; SRC106; SRC107.	Not started		Core		Not reviewed		Not reviewed
1.10	1 — Day 1 architecture	P0	All sites	Yes	Yes	Critical SEO release regression guards	Block release for unintended noindex on approved indexable patterns, unintended crawler blocks, conflicting canonicals and broken critical internal links. Run automated checks in CI for relevant changes where supported; otherwise use an equivalent repeatable CMS release check with recorded results and an accountable release owner.	Seeded unintended-noindex, canonical, crawler-access and critical-link defects are detected and prevent the affected release until corrected. Approved exclusions remain intact. A clean release passes the same repeatable check; the evidence identifies the build or CMS revision.	Developer	CI / browser assertions / crawler; documented CMS release QA	Every relevant change and release; review rules quarterly		Purpose: indexing/discovery; security/governance. C02. This is a project release safeguard, not a Google requirement to use CI or a specific framework. Sources: JavaScript SEO basics; Robots meta and X-Robots-Tag. Source IDs: SRC009; SRC038.	Not started		Core		Not reviewed		Not reviewed
1.11	1 — Day 1 architecture	P1	All sites	Yes	No	Extended SEO and performance automation	Add broader checks for duplicate or missing metadata, heading quality, all internal links, schema validation, asset budgets and accessibility regressions without blocking releases on noisy rules until thresholds are proven.	Rules have owners, low false-positive rates and documented severity; high-confidence failures can be promoted to launch gates later.	Developer + SEO + accessibility	Lighthouse CI; crawler; Playwright; axe; test runner	Every PR; review quarterly		Purpose: measurement; security/governance. Operating design; no external ranking claim. Related controls: 1.10, 4.5, 4.6, 4.4.	Not started		Extended		Not reviewed		Not reviewed
1.12	1 — Day 1 architecture	P0	Large catalogues / faceted navigation	Review	Yes	Faceted-navigation and parameter URL controls	Choose useful indexable filter combinations. Define deterministic parameter order and bound discovery of unwanted combinations. Test repeated/invalid parameters, no-result or nonsensical combinations and out-of-range pages. Use real 404 responses for nonexistent states; keep crawl restrictions separate from deindexing and canonicalization decisions.	Approved filter pages are useful, accessible and linked. Unwanted combinations do not create uncontrolled crawl paths or enter ordinary sitemaps. Negative fixtures return the documented errors. Any noindex relied on for removal remains readable; robots blocking is justified separately.	Developer + SEO	Screaming Frog; GSC	When filters ship		Purpose: indexing/discovery. C06. Source: Faceted navigation. Test absent results and duplicate filters at their actual URLs; do not redirect all such states to one common error URL. Source IDs: SRC043.	Not started		Core		Not reviewed		Not reviewed
1.13	1 — Day 1 architecture	P0	Long listings / pagination / infinite scroll	Review	Yes	Pagination and infinite-scroll crawl path	Give listing pages stable distinct URLs and sequential anchor links beneath load-more/infinite-scroll interfaces. Links and item discovery must work for intended crawlers without clicking controls or scrolling. Prefer server-delivered links for reliability; test any rendered-link approach. Give distinct paginated content its own canonical URL.	Page 2+ and important items are discoverable through crawlable links with valid hrefs. URLs load directly and use intentional canonicals, not blanket page-1 canonicals or fragment-only page numbers. Nonexistent pages and repeated parameters pass the negative tests in 1.12/1.4.	Developer	curl; crawler	When listing templates ship		Purpose: indexing/discovery. C02/C06. Source: Pagination. Server rendering is a reliability choice; discoverability and correct output for the intended crawler are the acceptance requirement. Source IDs: SRC044.	Not started		Core		Not reviewed		Not reviewed
1.14	1 — Day 1 architecture	P0	Multilingual / multi-country	Review	Yes	International technical implementation	Implement stable locale URLs with localized visible content and accurate HTML lang, including language changes where required by the accessibility target. Use supported hreflang codes and fully qualified URLs with self/return references for intended equivalents. Align canonicals with 0.7, including reviewed same-language regional consolidation. Use x-default only for the chosen unmatched-language fallback; keep switching user controlled.	Distinct translations remain accessible and indexable; any regional duplicate consolidation matches the approved plan. Hreflang, canonicals, language declarations and switching are consistent. No forced routing hides variants, no alternate points to an unavailable or unrelated page, and the chosen fallback behaves as intended.	Developer + SEO + localization	Crawler; hreflang validator; Sources sheet	When locale templates are built		Purpose: indexing/discovery; legal/accessibility. C07. Google determines page language from visible content; accurate lang supports assistive technology. Hreflang does not replace translation or justify cross-language canonical collapse. Sources: International sites; Localized versions / hreflang; Declaring language in HTML. Source IDs: SRC012; SRC013; SRC057.	Not started		Core		Not reviewed		Not reviewed
1.15	1 — Day 1 architecture	P0	E-commerce / product catalogue	Review	Yes	Product URL, variant and lifecycle architecture	Choose one stable canonical rule per product and variant; keep useful out-of-stock URLs available; define discontinued-product handling, categories, filters, pagination and internal links before catalogue routes ship.	Variant URLs do not create uncontrolled duplicates; product states have intentional status, canonical, sitemap and internal-link rules.	Developer + SEO + merchandising	URL inventory; crawler; catalogue specification	Before product templates ship		Purpose: indexing/discovery; security/governance. Source IDs: SRC010; SRC011; SRC042; SRC074.	Not started		Core		Not reviewed		Not reviewed
1.16	1 — Day 1 architecture	P0	Sites serving public or private non-HTML files	Review	Yes	Non-HTML indexing and X-Robots-Tag controls	Inventory uploaded/generated PDFs, feeds and other non-HTML patterns whether indexable, intentionally excluded or private. Record expected HTTP status, indexing, supported X-Robots-Tag/Link canonical and discovery links. Keep exclusion directives crawl-readable while relying on them; use authorization for private files.	Headers and access tests cover every important non-HTML pattern. Intended public exclusions and indexable resources follow the matrix; private files cannot be fetched without authorization. Canonical headers are used only where supported and appropriate, with working targets.	Developer + SEO	curl -I; crawler; Sources sheet	Before file templates or downloads ship		Purpose: indexing/discovery; security/governance. C05. Applicability depends on serving files, not on wanting them indexed. Sources: Robots meta and X-Robots-Tag; Canonicalization. Source IDs: SRC009; SRC010.	Not started		Extended		Not reviewed		Not reviewed
1.17	1 — Day 1 architecture	P0	All sites	Yes	Yes	Release, backup and rollback architecture	Define a deployable recovery target, required backups, recovery owner, cutover window, DNS/CDN dependencies and measurable triggers for availability, indexability and in-scope conversions. For first launch, choose a known-good deployable state or approved holding mode. For an existing site, preserve the prior release and required content/data state. Set recovery-time and acceptable-data-loss targets, including treatment of writes made after cutover.	The owner has a usable recovery procedure, required access and recoverable assets/data. The first-launch or existing-site target and timing/data-loss limits are approved. Any holding mode has a defined duration, owner and expected response/indexing behavior. Schedule the timed rehearsal in 4.12; a plan alone is not restoration proof.	Developer / operations	Hosting platform; backup system; runbook	Before launch; test after platform changes		Purpose: security/governance. F04. A new site need not invent a previous release. Restoration and controlled holding behavior protect availability and data; they are operational controls. Baseline data limitations are recorded in 4.11. Source: Contingency planning and recovery testing. Source IDs: SRC063.	Not started		Core		Not reviewed		Not reviewed
1.18	1 — Day 1 architecture	P0	All sites	Yes	Yes	Domain registration, ownership and renewal continuity	Record the registrar, registrant/organization owner, renewal method, expiry date, recovery contacts and privileged access. Enable auto-renew where appropriate, registrar/transfer lock, MFA and monitored billing/recovery paths. For migrations, keep old domains under control for at least as long as redirects are retained.	Production and any migration-source domains have a named owner, working recovery path, protected registrar access and no near-term expiry/renewal risk; old-domain retention matches the migration plan.	Business owner + operations	Registrar account; password manager; domain monitoring	Before launch; verify quarterly and before migrations		Purpose: security/governance. New in v4.3. Domain expiry is a continuity failure that DNS/SSL monitoring cannot prevent. Source IDs: SRC011; SRC063.	Not started		Core		Not reviewed		Not reviewed
1.19	1 — Day 1 architecture	P1	Sites running A/B tests, personalization or experiments	Review	No	SEO-safe testing, personalization and alternate experiences	Design experiments so users and crawlers are not intentionally shown deceptive content. For alternate test URLs, use a canonical to the original when appropriate; use temporary redirects for short-lived redirect tests; keep core content and crawl paths available; end experiments when the decision is made rather than leaving variants indefinitely.	Experiment routing, canonicals/redirects and crawl behavior are documented; no cloaking pattern or permanent duplicate variant is created; test retirement has an owner/date.	Product + developer + SEO	Experiment platform; browser/curl; crawler; Search Console	Before each experiment; remove after decision		Purpose: indexing/discovery; security/governance. New in v4.3. Conditional guidance for experimentation-heavy sites. See Sources: website testing. Source IDs: SRC027.	Not started		Extended		Not reviewed		Not reviewed
2.1	2 — Pre-launch config	P0	All sites	Yes	Yes	Sitemaps, robots.txt and index-bloat control	Record the sitemap decision in the URL/indexability plan: sitemaps are useful discovery aids, especially for new or complex sites, but are not a universal indexing prerequisite. If used, validate UTF-8, escaping, absolute URLs and meaningful lastmod; split beyond 50,000 URLs or 50 MB uncompressed per sitemap. Ordinary sitemaps list intended canonical, indexable 200 URLs; document migration exceptions separately. Whether sitemaps are used or omitted, verify crawlable internal discovery against the inventory and test robots.txt GET, host/protocol/port and agent scope, UTF-8, 500 KiB parsing boundary, caching and error responses.	The approved use/omission decision and internal-discovery checks are evidenced. Any implemented sitemap files and referenced URLs pass encoding, limit, status, directive and canonical checks. No priority route/resource is accidentally blocked. Excluded search/filter/tag/file patterns have consistent rules. robots.txt behavior, including intentional absence and cache/error cases, is recorded; reliance on noindex is crawl-readable and private access uses authorization.	Developer	Sitemap validator; Search Console	Launch + after content changes		Purpose: indexing/discovery. D02/C05. Sources: Sitemap construction; robots.txt interpretation; Site moves. Missing robots.txt is an explicit policy decision, not automatic deindexing. Defaults reflect ordinary launch sitemaps, not temporary migration diagnostics. E02: retain the access/indexability gate; an approved sitemap omission is allowed. Source: Sitemap use decision. Source IDs: SRC045; SRC046; SRC096.	Not started		Core		Not reviewed		Not reviewed
2.2	2 — Pre-launch config	P0	Sites with on-page images or image-based controls	Review	Yes	Image alternatives and decorative-image handling	Give meaningful images accurate alternative text based on their purpose; give decorative images empty alt. Avoid keyword stuffing and do not duplicate adjacent captions unnecessarily.	Priority content images communicate the same purpose without sight; decorative assets are silent to assistive technology.	Content + developer	Screaming Frog; WCAG check	Every content release		Purpose: legal/accessibility. v4: separates accessibility-critical alt handling from low-impact filenames. E02: resolve the actual image inventory, including functional and decorative images. An image-free site can use an approved exclusion; shipped image barriers still require correction. Source: Image text alternatives. Source IDs: SRC098.	Not started		Core		Not reviewed		Not reviewed
2.3	2 — Pre-launch config	P2	Sites where image search, Discover or image-rich search appearance matters	Review	No	Image discoverability and search-preview optimization	Keep important images discoverable at stable URLs, with useful surrounding text and filenames where practical. Use an image sitemap when it improves discovery. For selected Discover pages, provide relevant high-quality imagery. Google's recommendations are at least 1,200 px wide, more than 300,000 total pixels and a useful 16:9 presentation. Preserve the subject when cropping; select representative og:image or supported schema imagery and permit large previews where rights/policy allow.	Important images are crawlable and discoverable. Selected pages have a representative image and intentional preview controls. Record decisions against the Discover image recommendations; do not treat them as universal indexability requirements or require special Discover markup. Check rendered crops and avoid generic logos or text-heavy thumbnails where inappropriate.	Content + developer	CMS/media pipeline; image sitemap; page metadata; robots meta	When publishing priority media		Purpose: search-feature eligibility; optional enhancement. H06. Optional media enhancement. Discover eligibility is assessed separately in 2.16; image quality does not guarantee selection. Source: Discover. Source IDs: SRC025.	Not started		Extended		Not reviewed		Not reviewed
2.4	2 — Pre-launch config	P1	All sites	Yes	No	Search Console ownership and configuration	Verify the appropriate production property using a durable supported method independent of optional analytics. Prefer a Domain property when DNS control is available; use a correctly scoped URL-prefix property where needed. Record an accountable verified owner, secured recovery and appropriate backup access where feasible. Keep valid verification tokens in place, avoid overwriting other owners' tokens and grant monitoring staff the permissions they need. Document the intended sitemap URL.	The property covers the intended production URLs and an accountable verified owner can access it. Monitoring permissions and recovery are documented, with backup access where feasible; two owners are not compulsory and shared credentials are not a substitute. Verification remains valid independently of optional tags. Pending setup stays recorded as pending, with an owner and next action; it is not a ranking or website-launch prerequisite.	SEO + business owner	Search Console; supported ownership method; access/recovery record	Before launch; review access quarterly		Purpose: measurement. C14. Recommended monitoring setup, P1/nongating. Domain and URL-prefix properties have different scope and verification options. The live technical requirements in 5.4 remain gates; account setup or report availability is not an indexing guarantee. Sources: Search Console property types; Verify site ownership. Source IDs: SRC087; SRC088.	Not started		Core		Not reviewed		Not reviewed
