ID	Phase	Priority	Applies to	Applies?	Launch gate?	Task	What to do	Done when	Owner	Tools	Review cadence	Due date	Notes	Status	Evidence	Profile
1.2	1 — Day 1 architecture	P0	All sites	Yes	Yes	Semantic HTML and crawlable links	Use real a href links, semantic landmarks, one clear primary page heading and a logical heading hierarchy. Do not treat a strict single-H1 rule as a ranking requirement.	Priority URLs are reachable through normal links; landmarks, link purpose and heading hierarchy are usable by crawlers and assistive technology.	Developer + designer	HTML validator; Screaming Frog	Every template			Not started		Core
1.3	1 — Day 1 architecture	P0	All sites	Yes	Yes	Routing and canonicalization	Pick one host and slash policy. Use stable, descriptive, human-readable URL paths; prefer lowercase and hyphens, and avoid unnecessary parameters or opaque identifiers where practical. Self-canonicalize indexable pages. 301 HTTP, host, case and slash variants to the preferred URL.	Only one canonical version returns 200; alternates 301; canonical returns 200; priority URLs follow the documented descriptive path convention without accidental parameter duplicates.	Developer	curl -I; Screaming Frog; Search Console	Launch + after URL changes		v4.3: adds explicit descriptive URL and parameter conventions. See Sources: URL structure.	Not started		Core
1.4	1 — Day 1 architecture	P0	All sites	Yes	Yes	HTTP status handling	Return real 200, 301, 404 and, when intentionally used, 410 responses. Avoid soft 404s, redirect chains and loops; keep the 404 experience useful while returning status 404. For internal search, noindex valid result-state pages unless deliberately included in the indexability plan; return a genuine 404 for nonexistent or error-like URLs, and do not expose empty or thin search-result URLs as indexable 200 pages.	Representative success, redirect, missing, removed and internal-search URLs return the intended status and indexability; no tested empty-result or error-like URL is an indexable thin 200 or soft 404.	Developer	curl -I; Screaming Frog; server logs	Launch + weekly for 30 days		v3: absorbed the 404 UX requirement that was previously bundled into 1.8.	Not started		Core
1.5	1 — Day 1 architecture	P0	All sites	Yes	Yes	Lab performance budgets and LCP strategy	Set per-template lab budgets for LCP, CLS, TBT, HTML/CSS/JS/image/font weight, request count and TTFB. Identify the likely LCP element; never lazy-load it, and use preload or fetch priority only when testing shows a benefit. Treat 75th-percentile field CWV as post-launch evidence, not a CI result.	Every launch template passes agreed lab budgets on representative mobile conditions and the LCP resource is discoverable and prioritized without harming other critical work.	Developer	Lighthouse CI; WebPageTest; PageSpeed Insights; bundle analyzer	Launch; weekly 30 days; monthly		v4: separates lab budgets from rolling field data. See Sources: Core Web Vitals.	Not started		Core
1.6	1 — Day 1 architecture	P0	All sites	Yes	Yes	HTTPS and preferred-host enforcement	Serve production only over valid HTTPS and permanently redirect HTTP and non-preferred host variants to the single canonical host without chains.	Certificates are valid; no mixed content exists; every tested host/protocol variant reaches one HTTPS URL in one hop.	Developer / infrastructure	curl; SSL test; crawler	Launch and after domain/CDN changes			Not started		Core
1.7	1 — Day 1 architecture	P1	All sites	Yes	No	Infrastructure, security headers and third-party script budget	Use appropriate HTTP/2 or HTTP/3, caching, compression and security headers. Inventory analytics, chat, testing and advertising scripts; delay or remove noncritical code that harms interaction latency.	Infrastructure is secure and cacheable; third-party owners and performance budgets are documented; no critical journey is blocked.	Developer	SSL Labs; securityheaders.com; CDN dashboard	Launch + after infra changes		v4: split from the universal HTTPS launch gate.	Not started		Extended
1.8	1 — Day 1 architecture	P0	All sites	Yes	Yes	Staging and preview environment protection	Password-protect or IP-restrict staging and preview environments. Use environment-conditional robots/meta controls as defense in depth and automated tests to ensure staging noindex rules cannot ship to production.	No staging or preview host is indexable; production robots.txt allows crawl and no production template emits noindex.	Developer	Host auth/basic auth; env vars; robots.txt; meta robots; Search Console	Go-live checklist; every new environment		v3: narrowed to environment protection. A staging noindex leaking to production is the single most common launch catastrophe — 1.10 guards it in CI.	Not started		Core
1.9	1 — Day 1 architecture	P0	Sites with meaningful images or video	Review	Yes	Responsive media pipeline	Compress media, generate responsive sizes, set dimensions or aspect-ratio, use modern formats, lazy-load only below-fold media and provide captions/transcripts or alternatives where required.	Representative templates serve appropriately sized media without layout shift; the LCP asset is not lazy-loaded; accessibility alternatives are present.	Developer	Image CDN/build pipeline; PageSpeed	Every new template		v4: conditional launch gate when media ships.	Not started		Core
1.10	1 — Day 1 architecture	P0	All sites	Yes	Yes	Critical SEO regression guards in CI	Fail production builds that emit unintended noindex, block search crawlers, omit or contradict canonicals on priority templates, or break critical internal links. Run on every pull request.	Deliberate noindex, canonical and critical-link defects fail CI and prevent merge.	Developer	Lighthouse CI / Unlighthouse; Playwright or Vitest assertions; GitHub Actions	Every PR; review rules quarterly		v4: the narrow catastrophic-failure guard remains a launch gate.	Not started		Core
1.11	1 — Day 1 architecture	P1	All sites	Yes	No	Extended SEO and performance automation	Add broader checks for duplicate or missing metadata, heading quality, all internal links, schema validation, asset budgets and accessibility regressions without blocking releases on noisy rules until thresholds are proven.	Rules have owners, low false-positive rates and documented severity; high-confidence failures can be promoted to launch gates later.	Developer + SEO + accessibility	Lighthouse CI; crawler; Playwright; axe; test runner	Every PR; review quarterly			Not started		Extended
1.12	1 — Day 1 architecture	P0	Large catalogues / faceted navigation	Review	Yes	Faceted-navigation and parameter URL controls	Define which filter combinations deserve indexable landing pages; control crawl paths, internal links, canonicals and noindex for the rest. Do not use robots.txt as a canonicalization or deindexing substitute.	Useful filter pages are indexable and linked; low-value combinations are absent from sitemaps and do not create uncontrolled crawl spaces.	Developer + SEO	Screaming Frog; GSC	When filters ship		v4: promoted to a conditional launch gate.	Not started		Core
1.13	1 — Day 1 architecture	P0	Long listings / pagination / infinite scroll	Review	Yes	Pagination and infinite-scroll crawl path	Provide crawlable server-rendered page URLs and normal links beneath any load-more or infinite-scroll interface. Self-canonicalize pages unless a different consolidation strategy is demonstrably correct.	Page 2+ is reachable without interaction or JavaScript and important items are discoverable through stable paginated URLs.	Developer	curl; crawler	When listing templates ship		v4: promoted to a conditional launch gate.	Not started		Core
1.14	1 — Day 1 architecture	P0	Multilingual / multi-country	Review	Yes	International technical implementation	Use distinct URLs per locale, correct HTML lang, self-canonicals, reciprocal hreflang including self-references, supported language-region codes and x-default only when a genuine fallback exists. Keep locale switching user controlled.	Every launch locale is crawlable and independently indexable; canonical and hreflang clusters are consistent and no forced geo redirect hides variants.	Developer + SEO + localization	Crawler; hreflang validator; Sources sheet	When locale templates are built		New implementation row in v4. See Sources: international sites.	Not started		Core
1.15	1 — Day 1 architecture	P0	E-commerce / product catalogue	Review	Yes	Product URL, variant and lifecycle architecture	Choose one stable canonical rule per product and variant; keep useful out-of-stock URLs available; define discontinued-product handling, categories, filters, pagination and internal links before catalogue routes ship.	Variant URLs do not create uncontrolled duplicates; product states have intentional status, canonical, sitemap and internal-link rules.	Developer + SEO + merchandising	URL inventory; crawler; catalogue specification	Before product templates ship			Not started		Core
1.16	1 — Day 1 architecture	P0	Sites publishing indexable PDFs or other non-HTML files	Review	Yes	Non-HTML indexing and X-Robots-Tag controls	Decide which PDFs and other files may index. Use HTTP X-Robots-Tag or Link canonical headers where HTML meta tags are unavailable, and ensure blocked indexing directives remain crawlable so bots can read them.	Every important non-HTML pattern has the intended status, X-Robots-Tag, canonical and linking behavior verified from response headers.	Developer + SEO	curl -I; crawler; Sources sheet	Before file templates or downloads ship		New in v4. See Sources: robots meta and canonicalization.	Not started		Extended
1.17	1 — Day 1 architecture	P0	All sites	Yes	Yes	Release, backup and rollback architecture	Define backups, deployment owner, rollback mechanism, cutover window, DNS/CDN dependencies and measurable rollback triggers for indexability, availability and conversions.	A named owner can restore the prior known-good release and content/data state within the agreed recovery time.	Developer / operations	Hosting platform; backup system; runbook	Before launch; test after platform changes			Not started		Core
1.18	1 — Day 1 architecture	P0	All sites	Yes	Yes	Domain registration, ownership and renewal continuity	Record the registrar, registrant/organization owner, renewal method, expiry date, recovery contacts and privileged access. Enable auto-renew where appropriate, registrar/transfer lock, MFA and monitored billing/recovery paths. For migrations, keep old domains under control for at least as long as redirects are retained.	Production and any migration-source domains have a named owner, working recovery path, protected registrar access and no near-term expiry/renewal risk; old-domain retention matches the migration plan.	Business owner + operations	Registrar account; password manager; domain monitoring	Before launch; verify quarterly and before migrations		New in v4.3. Domain expiry is a continuity failure that DNS/SSL monitoring cannot prevent.	Not started		Core
1.19	1 — Day 1 architecture	P1	Sites running A/B tests, personalization or experiments	Review	No	SEO-safe testing, personalization and alternate experiences	Design experiments so users and crawlers are not intentionally shown deceptive content. For alternate test URLs, use a canonical to the original when appropriate; use temporary redirects for short-lived redirect tests; keep core content and crawl paths available; end experiments when the decision is made rather than leaving variants indefinitely.	Experiment routing, canonicals/redirects and crawl behavior are documented; no cloaking pattern or permanent duplicate variant is created; test retirement has an owner/date.	Product + developer + SEO	Experiment platform; browser/curl; crawler; Search Console	Before each experiment; remove after decision		New in v4.3. Conditional guidance for experimentation-heavy sites. See Sources: website testing.	Not started		Extended
2.1	2 — Pre-launch config	P0	All sites	Yes	Yes	Sitemaps, robots.txt and index-bloat control	Generate sitemaps containing canonical, indexable, 200-only absolute URLs. Use lastmod only for meaningful content changes. Reference sitemaps in robots.txt; keep controls versioned. Keep noindex URLs crawlable until the directive is processed, and control low-value search, filter and tag URLs through the indexability matrix. Exclude internal-search URLs from sitemaps; use noindex for legitimate result-state pages and a real 404 for nonexistent or error-like patterns.	robots.txt and sitemaps are valid and fetchable; sitemap URLs agree with canonicals and directives; no launch URL is accidentally blocked; low-value and empty internal-search patterns have explicit crawl, status, canonical, noindex and sitemap rules with no contradictory signals.	Developer	Sitemap validator; Search Console	Launch + after content changes		v4: clarifies that robots.txt is not a deindexing or canonicalization mechanism.	Not started		Core
2.2	2 — Pre-launch config	P0	All sites	Yes	Yes	Image alternatives and decorative-image handling	Give meaningful images accurate alternative text based on their purpose; give decorative images empty alt. Avoid keyword stuffing and do not duplicate adjacent captions unnecessarily.	Priority content images communicate the same purpose without sight; decorative assets are silent to assistive technology.	Content + developer	Screaming Frog; WCAG check	Every content release		v4: separates accessibility-critical alt handling from low-impact filenames.	Not started		Core
2.3	2 — Pre-launch config	P2	Sites where image search, Discover or image-rich search appearance matters	Review	No	Image discoverability and search-preview optimization	Use stable descriptive filenames and relevant surrounding copy where operationally practical; consider image sitemaps for otherwise hard-to-discover assets. For pages targeting Discover or image-rich search surfaces, provide a representative high-quality image, expose the preferred image through supported page metadata where useful, and allow large image previews when the content and rights permit.	Important assets are crawlable and discoverable; priority pages have an intentional representative image; image-preview controls do not accidentally suppress eligible large previews.	Content + developer	CMS/media pipeline; image sitemap; page metadata; robots meta	When publishing priority media		v4.3: expanded from filenames to preferred-image and Discover/search-preview readiness. See Sources: Discover.	Not started		Extended
2.4	2 — Pre-launch config	P0	All sites	Yes	Yes	Search Console ownership and configuration	Verify the appropriate domain property before launch, assign durable owners, confirm the preferred production property and prepare the sitemap for submission. Do not couple Search Console verification to a particular analytics product.	At least two durable owners can access the correct production property and the planned sitemap URL is documented.	SEO + business owner	Google Search Console; DNS	Before launch; review access quarterly		v4: separated from GTM, GA4 and Consent Mode.	Not started		Core
2.5	2 — Pre-launch config	P0	Sites using analytics or conversion measurement	Review	Yes	Analytics and conversion implementation	Implement the chosen analytics stack and planned conversions. Prevent duplicate events; configure internal/test traffic, cross-domain and referral handling, ecommerce values where relevant, timezone, retention and ownership. When Google Analytics is used, associate the correct Search Console property with the GA property so Search performance data can be analyzed alongside site behavior.	Pageviews and real test conversions appear once with correct source, URL, consent state and value; internal/test behavior is documented and controlled; any intended Search Console ↔ Analytics association is active and owned.	Developer + analytics + business	Chosen analytics debugger; browser network tools; tag debugger; Search Console Associations	Before launch and after tracking changes		v4.3: adds Search Console ↔ Google Analytics association where GA is used. See Sources: Search Console associations.	Not started		Core
2.6	2 — Pre-launch config	P0	Sites where consent is required and/or Google tags use Consent Mode	Review	Yes	Consent platform and Google Consent Mode configuration	Implement the legally approved consent experience. If Google tags are used, set regional defaults and update analytics_storage, ad_storage, ad_user_data and ad_personalization as applicable. Consent Mode communicates choices to Google; it is not legal compliance by itself.	Before and after consent, tags and storage follow the approved policy; withdrawal works; denied-consent paths remain functional; evidence is approved by the accountable owner.	Privacy/legal + developer + analytics	CMP; Tag Assistant; browser storage/network tools; Sources sheet	Before launch and after CMP/tag changes		v4: conditional and corrected. See Sources: Google Consent Mode.	Not started		Core
2.7	2 — Pre-launch config	P1	Templates eligible for useful structured data	Review	No	Structured-data eligibility matrix and implementation	For each template, document supported schema types, required and recommended properties, visible-content source and owner. Implement only accurate JSON-LD that reflects the page. FAQ rich results stopped appearing 7 May 2026; Search Console/Rich Results Test support was removed in June and Search Console API support is removed in August 2026. FAQPage remains a valid schema.org type, so accurate existing markup may stay, but do not build it merely for Google rich results. HowTo rich results are already deprecated.	Every marked template has valid, visible-content-backed markup and an owner; unsupported or ineligible schema is omitted.	Developer + SEO	Schema.org validator; Rich Results Test; Search Console; Sources sheet	Every new template		v4.3: clarifies staged FAQ deprecation and that accurate FAQPage markup need not be stripped. See Sources.	Not started		Extended
2.8	2 — Pre-launch config	P1	All sites	Yes	No	Social metadata	Add og:title, og:description, og:url, og:image, and Twitter/X cards for sharing.	Social preview tools show correct title, description, and image.	Developer + designer	Open Graph debugger; social preview tools	Launch + new landing pages			Not started		Core
2.9	2 — Pre-launch config	P2	Sites with an approved AI crawler policy	Review	No	Implement and verify optional AI crawler directives	Translate the approved 0.6 policy into robots.txt and edge controls. Verify the documented user agents actually receive the intended response; do not confuse training, search and user-triggered agents.	robots.txt, CDN/WAF behavior and a dated user-agent test agree with the policy.	Developer + SEO	robots.txt tester; curl with custom UA; Cloudflare/CDN bot dashboard; server logs	Launch; re-verify after any CDN change		v4: merged with the corrected policy and made optional.	Not started		Extended
2.10	2 — Pre-launch config	P2	Sites prioritizing IndexNow search engines	Review	No	IndexNow submission	Wire IndexNow into the publish/deploy pipeline so new and updated URLs are pushed to Bing, Yandex, Seznam and Naver on change. Google does not participate — it still relies on the sitemap.	Key generated on site; publishing a page triggers a successful IndexNow submission.	Developer	IndexNow API; Bing Webmaster Tools	Launch; monitor monthly		v4: optional optimization, not a universal launch requirement.	Not started		Extended
2.11	2 — Pre-launch config	P0	E-commerce / product catalogue	Review	Yes	Product structured data, merchant feed and policy configuration	For ecommerce, expose real visible product data and genuine reviews only, implement eligible Product structured data, keep price, availability, currency, identifiers, shipping and return information consistent with the page and merchant feeds, and validate representative variants. Never create ratings or reviews, mark up testimonials as product reviews when they are not, use self-serving review markup, conceal incentives, or condition an incentive on positive sentiment.	Representative products validate; rendered page, markup and feed agree; marked-up reviews are authentic, attributable and visible; any permitted incentive is disclosed and never tied to sentiment; no fabricated or self-serving review markup exists.	Developer + business	Rich Results Test; Merchant Center; Screaming Frog; Search Console Associations	Before launch; every catalogue/template change		v4.3: adds Search Console ↔ Merchant Center association. See Sources: Search Console associations.	Not started		Core
2.12	2 — Pre-launch config	P1	Local businesses	Review	No	Google Business Profile and local entity setup	Claim and verify the profile; set accurate NAP, categories, service areas, hours and website URL. Use a tagged website link where measurement policy permits and keep major citations consistent.	The profile is verified, accurate and linked to the correct landing page; ownership and review-response responsibility are assigned.	Business / SEO	Google Business Profile	Launch + ongoing		v4: moved to configuration and demoted from a universal cutover blocker.	Not started		Core
2.13	2 — Pre-launch config	P1	All sites	Yes	No	Favicon, site name and search identity	Provide a stable crawlable favicon on the site hostname and define the preferred site name consistently. Use WebSite structured data on the home page where appropriate, keep Organization/brand naming aligned, and verify that robots rules do not block the home page or favicon asset.	The production home page exposes an intentional site name and favicon; the favicon is square, stable and crawlable; site-name/brand signals are consistent with the approved brand baseline.	Developer + designer + SEO	Browser; Rich Results/schema validator; robots test; Search Console	Before launch; after brand/domain changes		New in v4.3. Covers two visible SERP identity elements previously absent. See Sources: favicon and site names.	Not started		Core
2.14	2 — Pre-launch config	P1	Sites where indexable video is a primary content asset	Review	No	Video search and watch-page optimization	Give important videos stable crawlable watch pages with descriptive titles/context, accessible players and strong thumbnails. Implement accurate VideoObject where eligible; use a video sitemap when it materially improves discovery; keep thumbnail/video resources crawlable and monitor video indexing/search performance after launch.	Priority videos have crawlable watch pages, accessible thumbnails/player resources and accurate video metadata; eligible structured data validates; any video sitemap is fetchable and owned.	Content + developer + SEO	Rich Results Test; video sitemap; Search Console; crawler	Before launch for video templates; review when publishing video		New in v4.3. Conditional module for sites where video is an organic acquisition surface. See Sources: Video SEO.	Not started		Extended
2.15	2 — Pre-launch config	P1	Sites with paywalled or registration-gated indexable content	Review	No	Paywall, registration and gated-content indexing	Decide which gated pages should remain indexable and ensure Googlebot can access the same eligible content under the approved sampling model. Mark paywalled sections with supported structured data where applicable, keep preview behavior intentional, and prevent account/checkout/private-user areas from leaking into the index.	Indexable gated pages have documented sampling/access rules and valid markup where used; private/account content is not unintentionally indexable; crawler and logged-out behavior match the approved policy.	Developer + content + legal/business	URL Inspection; Rich Results/schema validator; crawler; access-control tests	Before gated content launches; after access-model changes		New in v4.3. Conditional module for publisher/membership products. See Sources: paywalled content.	Not started		Extended
2.16	2 — Pre-launch config	P2	News, publisher or editorial sites targeting Discover / Preferred Sources	Review	No	Publisher Discover and Preferred Sources readiness	For eligible publisher/editorial sites, review Discover presentation requirements, representative-image quality and metadata, and whether the site is eligible for Google's Preferred Sources experience. If strategically useful, implement the supported Preferred Sources prompt/button without making it a ranking claim or launch dependency.	Publisher pages use intentional representative images and eligible metadata; Preferred Sources eligibility/implementation has a dated decision; no unsupported promise about ranking impact is made.	Content + developer + audience/SEO	Search Central docs; page metadata; Search Console	Before publisher launch; review quarterly		New in v4.3. Optional publisher discovery module. See Sources: Discover and Preferred Sources.	Not started		Extended
2.17	2 — Pre-launch config	P1	Sites with hierarchical content or category structures	Review	No	Breadcrumb navigation and BreadcrumbList markup	Provide visible, crawlable breadcrumb navigation that represents a typical user path and helps people move through the hierarchy. Keep linked ancestors aligned with canonical URLs. Add accurate BreadcrumbList markup only when the visible hierarchy exists; do not merely mirror URL strings or invent a hierarchy in structured data.	Priority hierarchical templates show a usable breadcrumb trail; linked ancestors return 200 and use the intended canonicals; BreadcrumbList matches the visible navigation and passes validation on representative pages.	Developer + designer + SEO	Rich Results Test; crawler; accessibility QA; Sources sheet	Before launch for hierarchical templates; after navigation changes		New in v4.4. Conditional, non-gate enhancement for hierarchical sites. See Sources: Breadcrumb navigation.	Not started		Core
3.1	3 — Content & trust	P0	All sites	Yes	Yes	Page titles and primary headings	Write unique, accurate titles and clear primary headings for priority URLs. Match the page intent and avoid arbitrary character-count rules or keyword repetition.	Every priority URL has an accurate, distinct title and primary heading; no title or heading is empty, misleading or duplicated by template error.	Content / SEO	Screaming Frog; SERP preview	Every page publish		v4: meta descriptions split into a separate P1 row.	Not started		Core
3.2	3 — Content & trust	P1	All sites	Yes	No	Meta descriptions and search snippets	Write accurate, useful descriptions for priority pages. Accept that search engines may rewrite snippets; prioritize clarity and conversion value over fixed length.	Priority pages have non-misleading descriptions and no systemic blank or duplicated template output.	Content / SEO	Crawler; SERP preview	Every priority page publish			Not started		Core
3.3	3 — Content & trust	P0	All sites	Yes	Yes	Contextual internal linking & topical coverage	Link related pages using descriptive anchors when it naturally benefits the reader. Ensure priority pages are reachable in few clicks.	Priority pages reachable in few clicks; no important orphans; natural anchor text.	Content + developer	Screaming Frog; IA map	Every content release		Replaces forced 'topic clusters' with natural contextual linking.	Not started		Core
3.4	3 — Content & trust	P0	All sites	Yes	Yes	Trust, contact and required legal/consumer pages	Publish accurate About and contact information plus the privacy, terms, company, returns, accessibility or consumer-information pages required by the approved 0.9 scope. Add real authors and sources where responsibility matters.	Required pages are accurate, accessible, owned and linked from appropriate locations; claims have accountable people or organizations.	Business + legal + content	Site footer QA	Launch + when details change			Not started		Core
3.5	3 — Content & trust	P0	All sites	Yes	Yes	Helpful structured answers, not GEO tricks	Write original pages answering real queries with specifics, limits, pricing/process, and first-hand detail.	Priority pages answer the query clearly; claims are supportable; no AI bait.	Content	Editorial review	Every major article		v3: pair with 3.9 for the format side of the same principle.	Not started		Core
3.6	3 — Content & trust	P0	YMYL, regulated, product or consequential factual claims	Review	Yes	Editorial evidence, fact-check and approval trail	Record primary sources, reviewer, approval date, material limitations and next review date for consequential claims. Use qualified legal, medical, financial or technical review when the subject requires it.	Launch claims are supportable and current; evidence and approvals are findable; unsupported testimonials, comparisons or guarantees are removed.	Content + subject expert + business/legal	Editorial checklist; source log	Before publish; at expiry or material change			Not started		Core
3.7	3 — Content & trust	P0	All sites	Yes	Yes	Minimum viable launch content complete	Define and finish the smallest set of priority landing, trust and conversion pages needed for the launch proposition. Do not block launch on an aspirational long-term editorial calendar.	Every URL marked launch-critical in the inventory has complete, approved copy, media, metadata, links and conversion path.	Content + business + SEO	URL inventory; editorial tracker	Before launch			Not started		Core
3.8	3 — Content & trust	P1	All sites	Yes	No	Post-launch content production plan and cadence	Turn the keyword and intent map into a sustainable dated backlog with owners, review steps and publication dates after the minimum launch set is complete.	The next content tranche has named owners, realistic dates and an accountable backlog owner.	Content + business	Content calendar; project tracker	Set before launch; review monthly		v4: demoted; the actual launch content set is covered by 3.7.	Not started		Core
3.9	3 — Content & trust	P1	All sites	Yes	No	Answer-first formatting and entity clarity	Structure priority pages so a machine and a hurried human can extract a correct, attributable answer: descriptive subheadings, direct answers near the relevant question, specific figures and cited sources where claims need support. For editorial, informational or consequential content where readers reasonably expect authorship or freshness signals, show an accurate author/reviewer and meaningful publish/update dates. Do not force bylines or dates onto transactional landing pages merely for SEO.	Priority content answers its main query clearly; claims that need support carry sources and context; authorship and dates appear where readers would reasonably expect them rather than as site-wide boilerplate.	Content	Editorial review; GSC Generative AI report later	Every major page		v4.3: narrows byline/date requirements to content where readers reasonably expect authorship or freshness. See Sources: helpful content.	Not started		Core
3.10	3 — Content & trust	P1	All sites	Yes	No	Cannibalisation check before publish	Before publishing, confirm no existing page already targets the same intent. If one does, strengthen it or merge instead of adding a near-duplicate.	Each publish has a recorded decision: new page, or update/merge of an existing URL.	Content + SEO	site: search; GSC query/page report; internal URL inventory	Every publish		New. Cheaper to prevent than to untangle in the 7.2 decay audit.	Not started		Extended
3.11	3 — Content & trust	P0	All sites	Yes	Yes	Accessible content, links and media QA	Check heading meaning, descriptive link text, plain language where appropriate, table headers, image alternatives, captions/transcripts, page language and instructions that do not depend only on color, shape or position.	Priority content remains understandable and operable with images, sound or styling unavailable; media alternatives are accurate.	Content + accessibility + designer	Editorial accessibility checklist; screen reader sampling	Every launch content release			Not started		Core
3.12	3 — Content & trust	P0	Multilingual / multi-country	Review	Yes	Locale-specific content and conversion localization	Localize intent, terminology, currency, units, legal information, shipping/service availability, contacts and conversion copy. Do not publish raw machine translation without accountable review.	Each launch locale is reviewed by a qualified human and matches the local query, offer, legal scope and conversion journey.	Localization + content + business	Locale briefs; human QA; URL inventory	Before each locale launches			Not started		Core
